"","id","title","cartoonist","genre","last_episode","week_rank","week","star_point"
"204","738843","불릿 6미리","김도근","스토리, 스포츠",51,"47","thu","9.85"
"205","745472","온새미로","여우 / 사문","스토리, 로맨스",33,"48","thu","9.89"
"206","753223","악령주의보","토마토모닝","스토리, 액션",10,"49","thu","9.89"
"207","733077","깁스맨","맹물","스토리, 드라마",60,"50","thu","9.85"
"208","736274","밤하늘에 구름운","견지 / 그리온","스토리, 로맨스",56,"51","thu","9.96"
"209","729964","만물의 영장휴재","보민","에피소드, 개그",0,"52","thu","9.98"
"210","641253","외모지상주의","박태준","스토리, 드라마",317,"1","fri","9.45"
"211","759457","여성전용헬스장 진달래짐","유기","스토리, 스포츠",4,"2","fri","8.72"
"212","753478","데드퀸","김규삼","스토리, 판타지",14,"3","fri","9.95"
"213","752803","관계의 종말컷툰","김용키","스토리, 스릴러",32,"4","fri","9.73"
"214","318995","갓 오브 하이스쿨","박용제","스토리, 액션",495,"5","fri","9.65"
"215","735661","재혼 황후","알파타르트 / 숨풀","스토리, 로맨스",59,"6","fri","9.97"
"216","725586","1초","시니 / 광운","스토리, 드라마",92,"7","fri","9.98"
"217","712362","개를 낳았다","이선","스토리, 드라마",101,"8","fri","9.97"
"218","711422","삼국지톡컷툰","무적핑크 / 이리","에피소드, 시대극",262,"9","fri","9.94"
"219","726095","살人스타그램","령","옴니버스, 스릴러",72,"10","fri","9.60"
"220","751208","뫼신 사냥꾼","윤현승 / 방승현","스토리, 판타지",17,"11","fri","9.88"
"221","746534","낙향문사전","바킹독 / 고기산적","스토리, 판타지",32,"12","fri","9.93"
"222","700844","걸어서 30분","이온도","스토리, 로맨스",159,"13","fri","9.98"
"223","729044","난약","정현주 / 박진환","스토리, 판타지",76,"14","fri","9.95"
"224","727784","사냥개들","정찬","스토리, 액션",83,"15","fri","9.76"
"225","708452","냐한남자","올소","스토리, 로맨스",142,"16","fri","9.98"
"226","745876","플레이어","박종석 / 오현준","스토리, 액션",32,"17","fri","9.88"
"227","735243","복학생 정순이","한짜장","스토리, 드라마",61,"18","fri","9.96"
"228","748534","구남친이 내게 반했다","강하다 / 희똑","스토리, 로맨스",25,"19","fri","9.89"
"229","752402","성경의 역사","최경민 / 영모","스토리, 드라마",15,"20","fri","9.16"
"230","718019","옆집친구","이한솔","스토리, 로맨스",113,"21","fri","9.88"
"231","729963","가슴털 로망스","갸오오","스토리, 개그",78,"22","fri","9.91"
"232","729767","고래별","나윤희","스토리, 로맨스",77,"23","fri","9.98"
"233","740377","신상 미스터리 극장","신상윤","옴니버스, 스릴러",45,"24","fri","9.73"
"234","729938","금혼령-조선혼인금지령","천지혜 / 산책","스토리, 로맨스",78,"25","fri","9.96"
"235","749633","피와 나비","레민","스토리, 판타지",23,"26","fri","9.95"
"236","751168","상남자","도가도","스토리, 액션",21,"27","fri","9.80"
"237","729571","소심한 팔레트","한민기","스토리, 로맨스",70,"28","fri","9.96"
"238","552960","더 게이머","성상영 / 상아","스토리, 판타지",351,"29","fri","8.56"
"239","745653","얌전한 사이","JQ / 이진영","스토리, 드라마",33,"30","fri","8.74"
"240","655749","닥터 프로스트 시즌 3~4","이종범","스토리, 드라마",104,"31","fri","9.97"
"241","732036","후덜덜덜 남극전자","김민혁","옴니버스, 개그",71,"32","fri","9.94"
"242","760350","낢다른 광화문광장 이야기","서나래","에피소드, 일상",0,"33","fri","8.08"
"243","737839","도롱이","사이사","스토리, 드라마",52,"34","fri","9.97"
"244","758677","히트포인트","민형 / 여강현","스토리, 판타지",1,"35","fri","9.58"
"245","755788","진짜 정말 맹세코 좋아해","개차반 / 잠괴물","에피소드, 로맨스",11,"36","fri","9.87"
"246","761496","도무지 그애는","게코","스토리, 드라마",1,"37","fri","9.83"
"247","741467","너의 미소가 함정휴재","앵고","스토리, 로맨스",0,"38","fri","9.97"
"248","751999","백년게임","하람 / 지야","스토리, 판타지",18,"39","fri","9.71"
"249","730466","구독금지","김이연","스토리, 스릴러",62,"40","fri","9.92"
"250","524520","트럼프","이채은","스토리, 판타지",302,"41","fri","9.97"
"251","738177","감히","희나리","스토리, 스릴러",52,"42","fri","9.87"
"252","739350","나쁜 쪽으로","오은 / 이세릴","스토리, 드라마",44,"43","fri","9.75"
"253","644112","몽홀","장태산","스토리, 시대극",0,"44","fri","9.93"
"254","737831","9등급 뒤집기","아백","스토리, 드라마",52,"45","fri","9.17"
"255","743423","스윗솔티","달삐","스토리, 드라마",37,"46","fri","9.97"
"256","724431","버그휴재","해마 / 송지형","스토리, 액션",0,"47","fri","6.91"
"257","729036","합법해적 파르페","뼈피살","스토리, 판타지",72,"48","fri","9.95"
"258","753806","매지컬 메디컬","지공","스토리, 드라마",14,"49","fri","9.86"
"259","746835","구주의 시간","송극장","스토리, 드라마",24,"50","fri","9.83"
"260","742349","나의 첫번째 새벽","신매","스토리, 감성",0,"51","fri","9.93"
"261","597447","프리드로우","전선욱","스토리, 드라마",368,"1","sat","9.90"
"262","650305","호랑이형님","이상규","스토리, 액션",290,"2","sat","9.97"
"263","728015","의 일지컷툰","모죠","에피소드, 개그",169,"3","sat","9.97"
"264","727188","취사병 전설이 되다","제이로빈 / 이진수","스토리, 판타지",86,"4","sat","9.95"
"265","758619","힙한남자","혜니","스토리, 로맨스",6,"5","sat","9.77"
"266","703843","비질란테","CRG / 김규삼","스토리, 액션",137,"6","sat","9.98"
"267","730694","초인의 시대","섭이","스토리, 액션",75,"7","sat","9.96"
"268","721948","스터디그룹","신형욱 / 유승연","스토리, 액션",101,"8","sat","9.96"
"269","755744","왕년엔 용사님","고샤 / 솔렘","스토리, 판타지",11,"9","sat","9.93"
"270","753509","광장","오세형 / 김균태","스토리, 액션",14,"10","sat","9.97"
"271","702672","노곤하개컷툰","홍끼","에피소드, 일상",211,"11","sat","9.98"
"272","742826","토끼대왕","김숭늉","스토리, 스릴러",40,"12","sat","9.93"
"273","746834","청춘 블라썸","홍덕 / NEMONE","옴니버스, 로맨스",25,"13","sat","9.97"
"274","737377","민간인 통제구역","OSIK","스토리, 스릴러",53,"14","sat","9.96"
"275","755581","단편.zip","웹툰작가","옴니버스, 드라마",0,"15","sat","9.65"
"276","703630","어글리후드","미애","스토리, 판타지",139,"16","sat","9.98"
"277","64997","나이트런","김성민","스토리, 판타지",50,"17","sat","9.93"
"278","733280","나를 바꿔줘","이지호 / 호띠","스토리, 드라마",67,"18","sat","9.80"
"279","724815","아홉수 우리들","수박양","스토리, 로맨스",89,"19","sat","9.98"
"280","616239","윌유메리미","마인드C","에피소드, 일상",683,"20","sat","9.93"
"281","739292","두번째 생일","스프링","스토리, 스릴러",47,"21","sat","9.87"
"282","715159","갓핑크","이상신 / 국중록","스토리, 액션",120,"22","sat","9.96"
"283","732021","탑코너","윤성 / 라군","스토리, 스포츠",70,"23","sat","9.85"
"284","746285","동트는 로맨스","유월","스토리, 로맨스",32,"24","sat","9.98"
"285","755559","태백 : 튜토리얼 맨","이난 / 백세","스토리, 판타지",12,"25","sat","9.91"
"286","757579","팔려 온 신부","지기, 시크크 / 지기","스토리, 로맨스",10,"26","sat","9.66"
"287","753975","내게 필요한 NO맨스","마그네슘","스토리, 드라마",9,"27","sat","9.95"
"288","752340","남자주인공의 여자사람친구입니다","류희온 / 카콘","스토리, 로맨스",18,"28","sat","9.90"
"289","724274","먹이","외눈박이 / 박수봉","옴니버스, 스릴러",95,"29","sat","9.98"
"290","739127","피라미드 게임","달꼬냑","스토리, 스릴러",0,"30","sat","9.94"
"291","729047","공유몽","주신 / 유령선","스토리, 판타지",76,"31","sat","9.90"
"292","750582","광해의 연인","유오디아 / 러시","스토리, 로맨스",22,"32","sat","9.95"
"293","725552","열불 로맨스","홍치","스토리, 로맨스",0,"33","sat","9.96"
"294","703839","홍시는 날 좋아해!","강하다 / 웃는해","에피소드, 로맨스",144,"34","sat","9.97"
"295","726467","틴맘","theterm","스토리, 드라마",87,"35","sat","7.07"
"296","737018","회춘휴재","기안84","에피소드, 드라마",0,"36","sat","9.73"
"297","729563","압락사스","247","스토리, 스릴러",72,"37","sat","9.72"
"298","749456","웰캄투실버라이프","솔녀","에피소드, 일상",24,"38","sat","9.97"
"299","746833","저무는 해, 시린 눈","MURO","스토리, 드라마",28,"39","sat","9.96"
"300","749054","동네몬스터","이현민 / 이세형","스토리, 액션",26,"40","sat","9.84"
"301","756789","손 잡아 볼래?","예타쿠","스토리, 로맨스",9,"41","sat","9.86"
"302","679543","아테나 컴플렉스","케이사르","스토리, 판타지",135,"42","sat","9.88"
"303","745235","피노키오 소녀","망순","스토리, 스릴러",32,"43","sat","9.75"
"304","754780","인간졸업","진자 / 정생","스토리, 드라마",11,"44","sat","9.81"
"305","753304","아침을 지나 밤으로","손지은","스토리, 판타지",15,"45","sat","9.94"
"306","733277","도사 가온","김상민","스토리, 액션",66,"46","sat","9.89"
"307","753973","후아유!","이범 / 이도윤","스토리, 로맨스",14,"47","sat","9.96"
"308","739411","왕세자 입학도휴재","무번","스토리, 드라마",0,"48","sat","9.98"
"309","748532","안녕, 이바다씨","문나영","스토리, 로맨스",22,"49","sat","9.90"
"310","741894","꼬리 있는 연애","진하 / 헤폰","스토리, 로맨스",39,"50","sat","9.92"
"311","751492","커피도둑","유지별이","스토리, 판타지",20,"51","sat","9.94"
"312","742782","함부로 대해줘","선우","스토리, 로맨스",39,"52","sat","9.87"
"313","742888","누군가의 로섬","방농구","스토리, 드라마",38,"53","sat","9.95"
"314","735078","먹지마세요","노도 / 비버","스토리, 판타지",62,"54","sat","9.94"
"315","736277","싸움독학","박태준 / 김정현","스토리, 액션",57,"1","sun","9.81"
"316","748105","독립일기컷툰","자까","에피소드, 일상",48,"2","sun","9.97"
"317","670152","열렙전사","김세훈","스토리, 판타지",256,"3","sun","9.95"
"318","746858","이번 생도 잘 부탁해","이혜","스토리, 로맨스",28,"4","sun","9.98"
"319","729326","맘마미안","미티 / 구구","스토리, 드라마",72,"5","sun","9.96"
"320","758150","입학용병","YC / 락현","스토리, 액션",7,"6","sun","9.79"
"321","743838","소녀재판","루즌아 / 보로콤","스토리, 드라마",37,"7","sun","9.74"
"322","751207","천하제일인","권순규 / 신권이","스토리, 액션",17,"8","sun","9.74"
"323","732955","닥터앤닥터 육아일기","닥터베르","에피소드, 일상",136,"9","sun","9.98"
"324","710751","약한영웅휴재","서패스 / 김진석","에피소드, 액션",0,"10","sun","9.90"
"325","690503","도망자","신영우","스토리, 액션",205,"11","sun","9.88"
